date,product,quantity,price
2024-01-01,Laptop,2,999.99
2024-01-01,Mouse,5,29.99
2024-01-02,Keyboard,3,79.99
2024-01-02,Monitor,1,299.99
2024-01-03,Laptop,1,999.99
2024-01-03,Headphones,4,149.99
2024-01-04,Mouse,10,29.99
2024-01-04,Keyboard,2,79.99
2024-01-05,USB Cable,20,9.99
2024-01-05,Monitor,2,299.99
2024-01-06,Laptop,3,999.99
2024-01-06,Headphones,2,149.99
2024-01-07,Mouse,8,29.99
2024-01-07,Keyboard,4,79.99
2024-01-08,USB Cable,15,9.99
2024-01-08,Laptop,2,999.99
2024-01-09,Monitor,3,299.99
2024-01-09,Headphones,5,149.99
2024-01-10,Mouse,6,29.99
2024-01-10,Keyboard,3,79.99
